region,lat,lon,raw_price,raw_load,raw_volatility,raw_peak,raw_renew,raw_temp,n_price,n_load,n_volatility,n_temp,n_renew,profitability,sustainability,dc_score
NY,42.9,-75.3,47.0075,18803.0,651.3387537230142,20325.0,51.35003817588672,5.800000000000001,0.9199267658870777,0.9199267658870778,0.9364837325732482,1.0,0.8048421092863492,0.9248938558929288,0.8633894765004444,0.8879912282574383
CAR,35.5,-80.0,55.995,22398.0,688.4164721521665,35825.0,60.18715944089078,13.795522388059702,0.877462792345854,0.877462792345854,0.9264225535974033,0.48351330505206325,1.0,0.8921507207213188,0.8450539915156189,0.8638926831978989
TEN,36.0,-86.0,44.817499999999995,17927.0,417.26695309469153,26174.0,50.67978196854833,13.898507462686569,0.9302740373257737,0.9302740373257736,1.0,0.47686077902043955,0.7900402542773096,0.9511918261280417,0.6960864117002485,0.7981285774713658
NW,45.5,-120.5,114.785,45914.0,2068.5702051998574,49728.0,55.43984591955567,8.534328358208954,0.5996928892038743,0.5996928892038743,0.5519126238964573,0.8233706131893561,0.8951609165929298,0.5853588096116492,0.8736238255718576,0.7583178191877742
NE,42.5,-72.5,38.5175,15407.0,640.9629078779537,16897.0,32.10645526613817,7.720895522388058,0.9600401606425703,0.9600401606425703,0.9392992575433836,0.8759159274971078,0.3798692094222146,0.9538178897128142,0.5286832248446824,0.6987370907919351
SW,36.0,-111.5,30.06,12024.0,835.9197475089114,18625.0,32.46406125839775,12.01791044776119,1.0,1.0,0.8863969825600897,0.5983416891631317,0.3877665358323789,0.9659190947680268,0.4509390818316047,0.6569310870061735
SE,33.0,-84.0,65.7675,26307.0,1093.6036825526667,38910.0,35.67935007875322,15.467164179104477,0.8312898653437278,0.8312898653437278,0.8164734732527645,0.37553027381411497,0.4587725756273378,0.8268449477164389,0.4337998850833709,0.5910179101365982
CENT,38.5,-94.5,84.305,33722.0,1715.223142199356,44968.0,28.65175843463564,13.246268656716419,0.7437042286794235,0.7437042286794235,0.6477946843913664,0.5189934438873891,0.3035761127821226,0.7149313653930065,0.36820131211370255,0.5068933334254242
CAL,36.5,-119.5,73.7225,29489.0,2718.3552838573846,38450.0,28.6670291522021,15.98358208955224,0.7937042286794236,0.7937042286794236,0.37559098790639966,0.34217123023524876,0.303913349416156,0.6682702564475165,0.3153907136618838,0.45654253077613693
MIDA,39.0,-77.0,241.70999999999998,96684.0,1695.3494824824832,111773.0,38.694255540873,11.78955223880597,0.0,0.0,0.6531874770384807,0.6130929425376013,0.525353374175211,0.1959562431115442,0.551675244683928,0.4093876440549745
MIDW,42.0,-89.0,214.15500000000003,85662.0,1990.4538190566245,101868.0,23.38349029304993,9.098507462686568,0.13019135364989343,0.13019135364989365,0.5731098004011295,0.7869263401465484,0.1872323321103159,0.2630668876752643,0.3671405345211856,0.3255110757828171
TEX,31.0,-99.0,134.925,53970.0,3279.5225458324244,75636.0,18.94542711040322,19.373134328358212,0.5045357902197023,0.5045357902197023,0.22331613127237981,0.12321635171615875,0.08922269485330739,0.4201698925355055,0.0994207919121628,0.2277204321614999
FLA,28.0,-82.0,84.07249999999999,33629.0,4102.49296071957,44402.0,14.90525342782314,21.280597014925373,0.7448027403732578,0.7448027403732578,0.0,0.0,0.0,0.5213619182612804,0.0,0.20854476730451219
